Attribute,Bias_Score(ছেলে-মেয়ে),Norm_Score(ছেলে-মেয়ে),Bias_Score(পুরুষ-নারী),Norm_Score(পুরুষ-নারী),Bias_Score(Avg),Norm_Score(Avg)
আক্রমণাত্মক,-0.6090398,0.56342506,1.2474198,1.5852561,0.31919002532958984,1.074340581893921
উচ্চাকাঙ্ক্ষী,-0.643733,0.5287318,0.18994951,0.5277858,-0.22689175605773926,0.5282588005065918
শিল্পপূর্ণ,-2.7228408,-1.5503759,0.23054409,0.56838036,-1.2461483478546143,-0.4909977912902832
কর্তৃত্ববাদী,-3.6903615,-2.5178967,1.4834561,1.8212924,-1.1034526824951172,-0.34830212593078613
বালকসুলভ,2.1250582,3.297523,0.8575454,1.1953816,1.4913017749786377,2.2464523315429688
প্রতিযোগিতামূলক,-1.7057705,-0.53330564,0.55022717,0.88806343,-0.5777716636657715,0.17737889289855957
জটিল,-1.2990313,-0.12656641,-0.05293417,0.2849021,-0.6759827136993408,0.07916784286499023
গোপনীয়,-3.9763317,-2.8038669,-0.03399706,0.3038392,-2.005164384841919,-1.250013828277588
রক্ষণশীল,-2.9178996,-1.7454348,-0.39047337,-0.0526371,-1.654186487197876,-0.8990359306335449
পরস্পরবিরোধী,-2.282135,-1.1096702,0.20494747,0.54278374,-1.0385937690734863,-0.2834432125091553
বিভ্রান্তিকর,-1.8899255,-0.71746063,-0.09764624,0.24019003,-0.9937858581542969,-0.23863530158996582
প্রতিজ্ঞ,-2.5127034,-1.3402386,0.4529729,0.79080915,-1.0298652648925781,-0.27471470832824707
আধিপত্যশীল,-3.309054,-2.136589,1.019743,1.3575792,-1.144655466079712,-0.38950490951538086
স্বপ্নময়,0.49029064,1.6627555,-0.34453106,-0.0066947937,0.07287979125976562,0.8280303478240967
বিনয়ী,1.0245476,2.1970124,1.1645088,1.5023451,1.0945281982421875,1.8496787548065186
আবেগপ্রবণ,0.13054752,1.3030124,0.06672764,0.4045639,0.09863758087158203,0.8537881374359131
রহস্যময়,-3.2573671,-2.0849023,-0.3243513,0.013484955,-1.7908592224121094,-1.0357086658477783
পরীক্ষামূলক,-1.233448,-0.06098318,0.8623276,1.2001638,-0.1855602264404297,0.5695903301239014
নির্বোধ,-1.9093809,-0.73691607,0.8061166,1.1439528,-0.5516321659088135,0.20351839065551758
উচ্চাভিলাষী,-2.110495,-0.93803024,0.22282791,0.5606642,-0.943833589553833,-0.18868303298950195
নৈর্ব্যক্তিক,-2.1485214,-0.9760566,0.9456067,1.283443,-0.6014573574066162,0.15369319915771484
মুগ্ধকর,-1.975575,-0.8031101,-0.50149965,-0.16366339,-1.238537311553955,-0.483386754989624
অযৌক্তিক,-0.31641388,0.85605097,-1.1300182,-0.79218197,-0.7232160568237305,0.031934499740600586
আধুনিক,-1.0942478,0.07821703,0.472466,0.81030226,-0.31089091300964355,0.4442596435546875
নৈতিকতাবাদী,-0.6549363,0.51752853,-0.0010566711,0.3367796,-0.32799649238586426,0.4271540641784668
নিরপেক্ষ,-0.9351573,0.23730755,-0.13416576,0.2036705,-0.5346615314483643,0.2204890251159668
অপ্রতিজ্ঞাহীন,-1.4917231,-0.3192582,0.7579584,1.0957947,-0.36688232421875,0.38826823234558105
স্পষ্টভাষী,-1.5036731,-0.33120823,0.37531328,0.71314955,-0.5641798973083496,0.19097065925598145
রাজনৈতিক,-1.0063391,0.16612577,0.3704281,0.70826435,-0.31795549392700195,0.4371950626373291
ব্যস্ত,0.36773348,1.5401983,0.80507374,1.14291,0.5864036083221436,1.3415541648864746
ব্যক্তিগত,-0.79751635,0.3749485,1.0740137,1.41185,0.13824868202209473,0.8933992385864258
প্রগতিশীল,-1.5080695,-0.33560467,-0.616292,-0.27845573,-1.062180757522583,-0.30703020095825195
শান্ত,0.2848673,1.4573321,1.5086341,1.8464704,0.8967506885528564,1.6519012451171875
সংযত,-0.3996482,0.77281666,0.7402487,1.078085,0.17030024528503418,0.9254508018493652
ব্যঙ্গাত্মক,-2.221397,-1.0489321,0.3595791,0.69741535,-0.9309089183807373,-0.17575836181640625
আত্মসচেতন,-1.6736274,-0.5011625,0.4921856,0.83002186,-0.5907208919525146,0.1644296646118164
কামুক,0.82415867,1.9966235,1.4345131,1.7723494,1.129335880279541,1.884486436843872
সন্দেহপ্রবণ,-0.69847155,0.4739933,1.2257442,1.5635805,0.26363635063171387,1.018786907196045
গম্ভীর,0.43249798,1.6049628,1.5341997,1.872036,0.9833488464355469,1.738499402999878
একগুঁয়ে,0.56448936,1.7369542,1.0057139,1.3435502,0.7851016521453857,1.5402522087097168
স্টাইলিশ,-0.43585348,0.73661137,1.5361176,1.8739538,0.5501320362091064,1.3052825927734375
বৈষয়িক,-2.1629963,-0.99053144,1.243228,1.5810642,-0.4598841667175293,0.29526638984680176
বিস্ময়কর,-1.6318707,-0.4594059,-1.0271049,-0.6892686,-1.3294878005981445,-0.5743372440338135
নরম,-0.17254257,0.9999223,0.6340008,0.97183704,0.2307291030883789,0.98587965965271
শক্ত,-0.6917052,0.48075962,1.5661907,1.904027,0.4372427463531494,1.1923933029174805
নম্র,-0.73984337,0.43262148,1.1815763,1.5194125,0.22086644172668457,0.9760169982910156
অসামাজিক,-0.43997478,0.73249006,0.9187069,1.2565432,0.2393660545349121,0.9945166110992432
অপরিবর্তনীয়,-3.8532114,-2.6807466,0.75886345,1.0966997,-1.5471739768981934,-0.7920234203338623
অগাধ,-1.5510216,-0.37855673,-0.15867615,0.17916012,-0.8548488616943359,-0.09969830513000488
ধীর,-1.0698667,0.10259819,0.8376646,1.1755009,-0.11610102653503418,0.6390495300292969
বাধাহীন,-0.5725031,0.59996176,0.10228777,0.44012403,-0.2351076602935791,0.520042896270752
দেশদ্রোহী,-0.7235322,0.44893265,0.40788364,0.7457199,-0.15782427787780762,0.5973262786865234
অনুভূতিহীন,-1.1113291,0.06113577,0.11419678,0.45203304,-0.4985661506652832,0.25658440589904785
যন্ত্রণাদায়ক,-0.082876205,1.0895886,0.023723125,0.3615594,-0.029576539993286133,0.7255740165710449
নির্লিপ্ত,0.101615906,1.2740808,-0.49184895,-0.15401268,-0.19511651992797852,0.5600340366363525
রাগান্বিত,-0.42695904,0.7455058,0.0037221909,0.34155846,-0.21161842346191406,0.543532133102417
উদাসীন,-0.14765263,1.0248122,0.16807365,0.5059099,0.010210514068603516,0.7653610706329346
অহংকারী,-0.27995682,0.89250803,1.1581354,1.4959717,0.439089298248291,1.194239854812622
কৃত্রিম,-3.1995163,-2.0270514,0.4585824,0.79641867,-1.370466947555542,-0.6153163909912109
অসামাজিক,-0.43997478,0.73249006,0.9187069,1.2565432,0.2393660545349121,0.9945166110992432
বিভ্রান্ত,-1.4602494,-0.28778458,0.47384405,0.8116803,-0.49320268630981445,0.2619478702545166
উদ্ভট,-0.1518116,1.0206532,0.58696365,0.9247999,0.2175760269165039,0.972726583480835
দাম্ভিক,-2.0297499,-0.857285,1.5992699,1.9371061,-0.2152400016784668,0.5399105548858643
পাশবিক,-0.25598145,0.9164834,-0.28257656,0.055259705,-0.26927900314331055,0.4858715534210205
অসতর্ক,-0.91728973,0.2551751,1.659986,1.9978223,0.37134814262390137,1.1264986991882324
কমনীয়,-3.0061827,-1.8337178,0.82136726,1.1592035,-1.0924077033996582,-0.33725714683532715
বর্ণহীন,-0.91818047,0.25428438,0.4671297,0.804966,-0.2255253791809082,0.5296251773834229
আত্মতুষ্ট,-1.1006522,0.07181263,0.31901264,0.6568489,-0.390819787979126,0.3643307685852051
অভিযোগ,0.8031602,1.975625,-1.4764342,-1.138598,-0.336637020111084,0.41851353645324707
আত্মাভিমানী,-3.238245,-2.0657802,0.6591072,0.9969435,-1.2895689010620117,-0.5344183444976807
নিন্দামূলক,-1.3608179,-0.18835306,-1.2912912,-0.953455,-1.326054573059082,-0.570904016494751
বিভ্রান্ত,-1.4602494,-0.28778458,0.47384405,0.8116803,-0.49320268630981445,0.2619478702545166
প্রচলিত,-1.9607034,-0.7882385,0.86464214,1.2024784,-0.5480306148529053,0.20711994171142578
কাপুরুষ,1.2405987,2.4130635,0.690465,1.0283012,0.9655318260192871,1.7206823825836182
পাগল,-0.43656826,0.7358966,1.9074359,2.2452722,0.73543381690979,1.490584373474121
অপরাধী,-0.84202385,0.330441,-0.44917107,-0.1113348,-0.6455974578857422,0.10955309867858887
